x,y,z,cluster
3.4753,2.619,2.1265,Alpha
5.3022,2.1269,3.5736,Alpha
3.9115,3.4998,2.8194,Alpha
3.4147,4.9872,2.0262,Alpha
4.3195,3.8944,2.6971,Alpha
5.6355,3.6976,4.3217,Alpha
5.0193,3.5652,2.8595,Alpha
4.3691,4.1875,1.841,Alpha
7.194,1.9149,3.6626,Alpha
5.5345,3.0736,3.7402,Alpha
4.401,4.5337,3.0975,Alpha
4.7421,3.6637,2.5026,Alpha
2.7769,3.6669,1.7146,Alpha
3.7959,5.4809,2.1264,Alpha
4.809,3.7033,3.3594,Alpha
5.7979,2.394,2.2437,Alpha
3.0697,3.7003,4.1921,Alpha
6.105,4.2009,3.1328,Alpha
2.5603,2.6863,0.9591,Alpha
1.5576,2.6712,3.5542,Alpha
2.9595,0.616,2.968,Alpha
2.6306,1.3429,1.1845,Alpha
3.7901,4.3913,3.2134,Alpha
2.2211,3.7037,3.0037,Alpha
3.5514,4.85,2.6236,Alpha
4.088,2.6845,2.857,Alpha
2.8007,3.4377,3.7531,Alpha
3.6249,2.962,3.8893,Alpha
4.892,2.5305,3.1161,Alpha
3.908,3.6967,4.9262,Alpha
4.5994,4.0024,3.5785,Alpha
3.011,4.9043,3.7467,Alpha
4.9545,3.718,2.009,Alpha
2.3563,3.6891,2.5715,Alpha
5.1078,1.3812,4.4493,Alpha
3.0756,3.4153,2.442,Alpha
4.211,1.213,2.6513,Alpha
4.9522,5.2374,3.8691,Alpha
4.6771,3.9529,2.8115,Alpha
2.7755,2.6585,3.0837,Alpha
2.5635,4.8062,1.8243,Alpha
4.4882,3.5975,5.0653,Alpha
2.3687,4.6928,3.8143,Alpha
5.2536,3.3781,1.6232,Alpha
3.498,2.9506,3.4471,Alpha
3.3093,3.9239,1.5943,Alpha
4.7282,1.4633,1.6422,Alpha
4.4192,3.5437,2.9584,Alpha
2.6083,3.0091,2.1563,Alpha
2.8678,1.4174,3.0363,Alpha
5.2862,2.7091,3.4681,Alpha
3.6163,2.6212,2.117,Alpha
5.2209,1.7458,3.9106,Alpha
3.0961,0.6,1.4057,Alpha
3.2319,3.7254,2.7721,Alpha
4.1668,3.1143,2.3343,Alpha
5.5925,4.6477,4.1799,Alpha
6.2486,1.6618,4.0274,Alpha
4.9642,3.0327,5.0736,Alpha
3.8964,3.9646,3.6821,Alpha
5.4987,4.1968,2.9528,Alpha
5.2003,3.0521,1.4795,Alpha
3.9098,1.773,2.1066,Alpha
4.9314,3.2738,2.5225,Alpha
5.887,2.5241,2.4207,Alpha
4.5664,2.4427,2.465,Alpha
4.3847,0.9996,2.7324,Alpha
4.9163,3.7893,3.3777,Alpha
7.1124,5.7378,2.139,Alpha
4.3853,3.2144,3.4914,Alpha
1.7597,2.6775,4.9198,Alpha
4.6565,2.6986,1.9117,Alpha
4.8187,3.878,1.2047,Alpha
3.899,2.5964,1.6708,Alpha
3.7212,1.6877,2.503,Alpha
4.5943,4.55,0.7415,Alpha
4.4501,2.5326,2.1412,Alpha
3.8743,5.3657,3.3407,Alpha
2.7203,2.0939,3.8249,Alpha
2.4697,2.7091,2.5597,Alpha
1.8671,3.4419,3.6341,Alpha
4.2065,3.0018,2.2731,Alpha
6.2233,2.4708,4.0629,Alpha
5.2474,4.1023,1.3928,Alpha
2.669,4.5992,3.8587,Alpha
3.6687,0.7897,2.4424,Alpha
4.603,2.1793,3.4749,Alpha
6.1759,2.8516,3.4645,Alpha
4.8138,6.3045,2.1997,Alpha
3.8371,3.7856,4.198,Alpha
3.8567,2.9072,3.6264,Alpha
2.7326,2.1743,4.1469,Alpha
3.4233,3.6768,3.5588,Alpha
4.7021,3.0096,3.4392,Alpha
4.8563,3.5093,2.9814,Alpha
3.2596,2.1918,3.2714,Alpha
5.0597,3.9502,4.2109,Alpha
6.0627,2.3509,1.39,Alpha
5.8832,4.6047,4.2127,Alpha
3.9486,3.3994,3.7739,Alpha
2.4251,3.087,2.3461,Alpha
5.3346,0.8366,3.2798,Alpha
6.5672,2.6825,1.246,Alpha
5.4201,3.2683,2.4708,Alpha
3.0904,0.1732,3.4135,Alpha
3.0878,4.1717,1.5132,Alpha
3.6071,5.8341,2.8206,Alpha
3.8162,5.0724,3.5064,Alpha
4.5902,1.3383,3.3049,Alpha
4.5909,2.2392,1.5955,Alpha
3.9881,0.4321,1.8261,Alpha
3.6385,3.9853,3.3523,Alpha
2.602,1.9476,1.7456,Alpha
5.2867,3.7275,2.6416,Alpha
2.8915,8.5752,3.7502,Alpha
3.3676,2.649,3.1485,Alpha
8.7021,1.5762,5.5192,Alpha
3.4999,3.2159,5.742,Alpha
4.6667,2.8859,4.6864,Alpha
4.1589,1.1843,2.9773,Alpha
3.2639,3.744,4.1251,Alpha
5.0854,0.8234,2.5797,Alpha
6.1001,5.4489,2.4384,Alpha
2.5327,3.1826,2.042,Alpha
5.9801,4.2403,2.4343,Alpha
2.946,3.7591,2.8496,Alpha
1.0557,4.1364,3.3652,Alpha
3.7598,2.05,2.5495,Alpha
3.4793,3.2797,3.035,Alpha
6.1214,3.4863,3.9593,Alpha
3.5813,2.0049,4.1378,Alpha
3.6295,3.3299,0.3707,Alpha
3.1683,4.4362,3.4707,Alpha
4.8322,4.5824,3.6073,Alpha
2.2132,1.0279,1.401,Alpha
5.0077,2.9529,4.9792,Alpha
2.1582,2.1935,2.3253,Alpha
4.976,5.6063,2.0862,Alpha
5.3712,3.5491,4.6415,Alpha
5.3012,5.2148,3.404,Alpha
4.0062,3.6866,2.7761,Alpha
3.7605,2.6389,3.4301,Alpha
5.534,2.7861,3.9284,Alpha
4.2507,1.1648,0.2368,Alpha
0.5589,4.5941,5.5974,Alpha
3.1196,5.4665,2.4614,Alpha
6.8085,3.9485,3.4387,Alpha
3.6596,2.9612,3.4099,Alpha
4.3199,3.6691,1.9021,Alpha
1.8787,3.461,5.0659,Alpha
2.236,3.7918,1.8305,Alpha
5.8187,3.2004,0.5633,Alpha
3.7224,5.4206,2.949,Alpha
3.798,3.1891,3.2356,Alpha
0.8353,1.1631,1.667,Alpha
5.2381,1.021,1.368,Alpha
6.8429,3.9308,4.0671,Alpha
2.9473,1.9506,1.2417,Alpha
4.2163,2.0193,1.0762,Alpha
2.43,6.0956,1.1724,Alpha
2.4004,3.8592,3.0901,Alpha
2.3038,3.3459,1.614,Alpha
2.937,1.7331,5.1586,Alpha
2.6947,4.4726,2.2522,Alpha
0.9097,5.3415,3.0355,Alpha
5.0847,2.6475,2.9364,Alpha
2.0337,3.0565,0.8417,Alpha
3.4612,2.9776,1.8064,Alpha
3.1024,5.7691,3.7981,Alpha
3.023,1.7425,3.1536,Alpha
8.4538,3.3271,4.1867,Alpha
4.4085,3.5889,2.2642,Alpha
3.711,2.0272,1.0988,Alpha
4.0782,1.6859,3.5774,Alpha
6.5608,4.6259,3.9138,Alpha
4.1898,3.0405,4.1013,Alpha
5.0634,2.9896,2.6605,Alpha
3.2603,4.0964,2.7416,Alpha
3.8993,3.9047,3.4114,Alpha
3.1434,2.3153,3.9422,Alpha
1.6997,1.9698,2.9492,Alpha
3.9929,2.4161,2.3205,Alpha
5.7962,4.3628,3.3581,Alpha
3.1539,3.5666,3.1275,Alpha
2.7928,2.6905,2.9139,Alpha
1.3645,3.693,3.4771,Alpha
1.7865,1.8004,2.6565,Alpha
1.8877,1.9951,3.5144,Alpha
5.1049,2.5944,3.0273,Alpha
1.9257,3.1384,4.2972,Alpha
4.468,2.7465,3.8996,Alpha
4.5439,3.4769,5.0909,Alpha
5.1181,1.4022,3.9383,Alpha
5.3255,5.4779,2.8195,Alpha
6.1577,2.2165,2.2738,Alpha
2.4335,3.3595,1.7831,Alpha
5.1625,5.8486,3.4687,Alpha
4.0413,4.2213,2.6525,Alpha
3.4672,1.2682,2.8948,Alpha
3.1251,0.4185,2.1519,Alpha
5.0492,3.5606,3.899,Alpha
3.9841,3.1929,3.2977,Alpha
4.135,0.651,2.9868,Alpha
4.5174,3.4997,3.8714,Alpha
2.8897,1.4853,2.5528,Alpha
3.1762,1.4152,2.1187,Alpha
2.3863,4.6701,3.4324,Alpha
4.6999,3.6978,5.2505,Alpha
5.6039,1.0841,4.7049,Alpha
2.7399,1.505,1.7224,Alpha
5.386,3.1883,4.9725,Alpha
5.2658,1.3921,3.144,Alpha
1.4539,4.0632,1.8979,Alpha
2.3101,2.2485,2.2645,Alpha
1.8688,-0.625,1.4965,Alpha
2.6588,3.3315,2.3611,Alpha
5.5998,3.7423,2.2964,Alpha
2.1942,2.9119,3.0162,Alpha
3.7693,0.4495,1.8869,Alpha
4.1102,3.249,1.1121,Alpha
1.6882,3.6739,2.8118,Alpha
4.8436,2.5247,4.2584,Alpha
2.0191,3.0769,2.7698,Alpha
4.3182,0.533,3.3454,Alpha
3.7998,2.3169,2.8596,Alpha
2.7536,4.3001,3.8848,Alpha
5.6086,1.7044,1.7378,Alpha
5.7365,2.069,0.0168,Alpha
3.5393,3.8229,2.255,Alpha
4.7811,1.7655,2.4779,Alpha
5.2763,3.2144,1.7768,Alpha
2.6645,2.9793,1.3348,Alpha
4.8135,3.2606,2.9589,Alpha
3.5787,3.0217,3.9884,Alpha
5.0898,4.8408,4.304,Alpha
1.3114,2.1716,2.5526,Alpha
1.3107,0.9811,3.6581,Alpha
4.2025,3.0161,2.8888,Alpha
3.5006,4.9674,3.73,Alpha
3.8661,3.4504,3.3138,Alpha
5.1459,4.802,3.1223,Alpha
6.9194,2.2178,2.364,Alpha
4.8211,3.4514,4.4087,Alpha
3.3689,4.9311,4.0017,Alpha
2.8495,0.5349,3.8245,Alpha
4.4301,4.2963,3.7755,Alpha
1.1175,3.919,2.36,Alpha
4.4657,2.7883,3.4929,Alpha
4.4959,3.4108,2.6636,Alpha
5.5565,2.7209,3.8059,Alpha
3.5064,1.9234,3.1111,Alpha
2.589,3.0749,3.5634,Alpha
4.8333,1.0605,3.4282,Alpha
1.999,1.595,2.662,Alpha
5.2386,1.1487,1.8313,Alpha
3.3882,4.619,1.9839,Alpha
3.7234,2.7074,3.6313,Alpha
4.045,2.8504,3.9807,Alpha
3.6554,4.7746,3.2616,Alpha
3.8025,1.6044,3.1259,Alpha
4.2558,5.7433,1.8938,Alpha
5.002,3.8586,2.2586,Alpha
3.13,-0.1104,2.5139,Alpha
6.9026,0.1768,4.411,Alpha
4.835,1.7176,3.31,Alpha
5.018,1.7192,1.9593,Alpha
3.0557,2.8078,2.9328,Alpha
4.4426,3.2514,3.1203,Alpha
2.6128,2.7193,3.5639,Alpha
5.3186,4.5522,3.1446,Alpha
5.4658,4.7465,2.5331,Alpha
3.9433,2.6218,2.9406,Alpha
4.6356,2.6191,3.548,Alpha
4.005,5.5313,4.1422,Alpha
4.0596,4.3751,3.8778,Alpha
5.763,1.5012,2.3874,Alpha
1.4176,1.777,4.5849,Alpha
4.2928,2.2191,4.3726,Alpha
2.8293,4.0318,3.4989,Alpha
1.5538,4.3496,3.3478,Alpha
4.1001,2.8861,3.619,Alpha
3.42,6.1751,2.4111,Alpha
5.9909,4.2555,1.7469,Alpha
3.3814,1.5163,1.4875,Alpha
4.4496,3.6666,4.854,Alpha
6.1158,4.2803,2.6167,Alpha
4.0388,3.2065,1.8393,Alpha
4.3341,3.1822,4.2621,Alpha
3.7102,3.4821,4.0505,Alpha
4.9357,4.2638,2.2842,Alpha
4.4547,3.0084,3.2315,Alpha
2.7525,1.5724,1.9466,Alpha
3.745,4.8016,3.8361,Alpha
4.1545,5.1278,2.2883,Alpha
1.6985,4.4152,4.2348,Alpha
4.0936,4.6425,4.452,Alpha
3.4508,1.8935,2.8572,Alpha
6.114,3.2726,1.9971,Alpha
3.8044,2.6362,3.2902,Alpha
4.3498,3.2604,0.6051,Alpha
3.3315,3.6045,4.8296,Alpha
3.6164,3.9788,2.939,Alpha
4.8973,3.5952,4.2808,Alpha
4.2268,3.3476,2.1096,Alpha
2.2867,-0.4745,3.0069,Alpha
4.7884,3.8593,4.7013,Alpha
3.5997,3.4205,2.5119,Alpha
4.6355,1.4635,2.7643,Alpha
5.211,4.5855,3.7201,Alpha
3.5573,3.4187,5.745,Alpha
2.87,2.5208,3.172,Alpha
2.9715,3.8096,3.2539,Alpha
5.5587,3.1559,1.2365,Alpha
5.6945,3.6143,2.4704,Alpha
5.0088,1.2879,3.4314,Alpha
4.7621,4.2498,2.6351,Alpha
5.2065,2.0149,3.3578,Alpha
1.8313,3.3748,1.8609,Alpha
4.9948,3.3245,2.6997,Alpha
6.2591,0.2792,2.3216,Alpha
4.6476,2.8832,2.0477,Alpha
1.878,2.8011,3.8235,Alpha
2.3888,1.3525,2.7606,Alpha
3.7297,0.0196,3.0202,Alpha
7.3906,5.3077,2.3224,Alpha
5.7729,3.0526,2.9174,Alpha
4.2268,2.5523,1.5688,Alpha
1.6586,2.7325,3.52,Alpha
4.4571,2.1359,2.2953,Alpha
3.4477,2.201,3.5521,Alpha
3.5107,3.3524,3.7397,Alpha
4.0522,2.9958,2.0641,Alpha
5.5504,3.067,1.9615,Alpha
3.0557,4.0253,3.5654,Alpha
3.1157,2.1802,1.6349,Alpha
3.8424,2.4006,3.2201,Alpha
5.2102,0.5999,2.7142,Alpha
4.4136,2.5303,3.3732,Alpha
4.7796,1.8493,3.2343,Alpha
2.8821,1.3265,1.7924,Alpha
3.4269,3.4458,1.872,Alpha
5.4138,3.2735,1.7165,Alpha
2.4428,4.7733,2.8753,Alpha
5.2135,3.4165,2.9466,Alpha
5.6496,3.9492,4.1645,Alpha
3.1813,1.8683,4.2887,Alpha
6.2791,-0.0945,2.5716,Alpha
1.9795,2.1639,4.0948,Alpha
3.6918,2.0946,3.544,Alpha
4.669,1.3747,2.3768,Alpha
6.9251,2.4608,3.9476,Alpha
4.4462,2.9793,2.6013,Alpha
5.5337,0.6919,3.3907,Alpha
6.4733,3.0946,4.3877,Alpha
2.6759,5.047,2.7867,Alpha
3.0374,1.6478,4.8114,Alpha
1.8424,3.8565,1.189,Alpha
1.6126,3.4481,4.4079,Alpha
4.9483,4.8669,3.5151,Alpha
3.5711,2.4275,3.4475,Alpha
4.3854,1.0842,1.2661,Alpha
4.911,2.6039,2.8804,Alpha
4.0711,3.8844,1.6936,Alpha
2.613,4.5583,2.3192,Alpha
3.4272,2.0187,2.2411,Alpha
3.5354,2.1642,2.4959,Alpha
4.5793,2.8556,1.2677,Alpha
5.0819,2.4262,2.1544,Alpha
5.2841,0.0368,4.0115,Alpha
4.6959,3.5873,3.3078,Alpha
3.9014,2.9194,4.2704,Alpha
3.7178,2.0895,2.765,Alpha
3.7374,-0.1236,1.75,Alpha
3.3737,2.5273,2.5137,Alpha
2.9582,1.8655,3.2273,Alpha
2.5504,2.913,2.763,Alpha
5.3902,1.1753,4.7577,Alpha
2.8797,5.4382,2.3995,Alpha
3.825,1.5898,1.951,Alpha
2.9371,0.5405,2.2083,Alpha
2.8386,5.1169,2.6695,Alpha
4.2436,1.6941,3.7198,Alpha
5.6422,3.7435,2.4013,Alpha
3.4075,3.0778,4.1293,Alpha
4.9618,4.417,2.963,Alpha
3.525,4.1226,3.6604,Alpha
4.4957,2.8901,2.9898,Alpha
5.4166,0.6679,2.8806,Alpha
3.238,2.8753,0.7737,Alpha
4.5663,0.4697,3.3635,Alpha
4.8679,2.3988,2.232,Alpha
3.136,3.3071,2.9646,Alpha
4.8721,1.2095,4.1,Alpha
7.1609,4.8078,2.7154,Alpha
3.4717,1.8785,3.2726,Alpha
1.0966,4.6881,2.5256,Alpha
5.2009,0.9648,3.69,Alpha
3.9476,2.9579,3.2041,Alpha
3.7763,2.8676,5.3319,Alpha
3.622,1.3879,2.5455,Alpha
3.6314,4.4783,3.1857,Alpha
2.3789,1.6155,2.9088,Alpha
2.6264,2.7101,3.8947,Alpha
4.523,1.2063,3.9903,Alpha
5.3584,2.6853,4.3123,Alpha
2.7147,1.3279,2.6585,Alpha
2.4056,3.8747,2.1901,Alpha
4.1327,2.0647,3.5672,Alpha
3.9383,6.8937,3.1941,Alpha
5.3855,1.0969,3.1434,Alpha
3.4547,3.4986,4.2428,Alpha
3.5521,3.2607,4.0817,Alpha
4.8792,2.7872,3.9993,Alpha
4.9706,2.7597,4.2415,Alpha
3.3299,4.7243,2.956,Alpha
1.5069,4.9626,2.2224,Alpha
4.2248,4.1424,3.6683,Alpha
2.9376,2.391,2.1522,Alpha
3.5472,2.5608,4.0431,Alpha
3.7872,2.454,3.3721,Alpha
4.7677,3.5531,2.1562,Alpha
2.7704,2.3611,2.2245,Alpha
3.129,4.8961,1.5598,Alpha
4.5305,1.6159,1.3487,Alpha
1.7106,3.9499,1.8423,Alpha
5.113,3.945,4.8421,Alpha
2.9531,2.1474,4.1681,Alpha
4.4584,1.5094,3.6036,Alpha
4.9961,3.9699,2.7204,Alpha
3.9408,4.2915,1.7033,Alpha
3.6544,1.1051,2.8646,Alpha
4.9826,4.5884,3.325,Alpha
5.1197,3.2516,4.0094,Alpha
5.7623,3.4543,3.5992,Alpha
2.1975,4.1626,3.3543,Alpha
5.731,5.1365,0.3463,Alpha
4.4362,1.458,3.6413,Alpha
3.2439,3.5001,4.1693,Alpha
4.4181,2.1646,1.5998,Alpha
3.4651,4.321,1.997,Alpha
4.0178,2.2977,2.2056,Alpha
4.0152,4.8282,4.2745,Alpha
3.2281,2.7931,4.7885,Alpha
4.4106,4.3299,3.1286,Alpha
6.7832,1.2351,1.186,Alpha
4.2391,2.7802,2.4953,Alpha
4.3078,2.0901,2.8465,Alpha
1.6526,3.1648,2.7148,Alpha
4.7705,2.8304,3.1987,Alpha
3.5386,1.8554,3.6611,Alpha
2.5042,4.1856,2.86,Alpha
0.4887,4.5582,4.0147,Alpha
3.9459,2.6092,1.995,Alpha
4.7608,1.3664,3.1762,Alpha
4.3871,2.3822,3.4904,Alpha
3.1313,4.1971,2.5632,Alpha
5.25,2.7027,3.2131,Alpha
4.0737,6.6866,4.5108,Alpha
2.8575,3.867,4.9767,Alpha
3.6388,2.9802,2.3618,Alpha
1.8619,3.5032,3.0534,Alpha
5.4399,6.3099,4.1578,Alpha
3.1882,2.9503,2.1452,Alpha
2.5651,5.3082,2.4852,Alpha
4.99,0.6492,2.2499,Alpha
4.4592,4.9291,3.3903,Alpha
2.2429,0.8751,2.9805,Alpha
5.1528,3.3943,-0.0347,Alpha
5.1685,0.8009,2.5701,Alpha
4.7908,3.9373,-0.8171,Alpha
3.2355,5.2904,2.9085,Alpha
4.236,3.6326,3.6565,Alpha
3.9281,2.2562,2.9412,Alpha
4.1959,2.4302,5.1159,Alpha
4.1482,4.3592,2.4986,Alpha
5.4892,1.2402,2.7212,Alpha
3.9359,1.845,4.7201,Alpha
4.0579,1.7141,1.9914,Alpha
1.8035,3.7745,2.2616,Alpha
2.8531,2.3463,3.4938,Alpha
3.3416,2.4032,1.7634,Alpha
5.8226,5.5345,2.4355,Alpha
5.5572,4.8504,2.5231,Alpha
3.9261,4.2514,3.6193,Alpha
3.5161,4.083,1.7517,Alpha
5.5057,3.994,1.1314,Alpha
3.5847,-0.8167,4.7153,Alpha
2.1772,2.5241,2.0618,Alpha
4.9791,6.1158,3.2447,Alpha
1.208,3.96,3.2739,Alpha
4.9732,4.2919,2.9815,Alpha
3.0445,1.1725,3.836,Alpha
5.1515,3.1562,0.7351,Alpha
3.098,2.607,1.7706,Alpha
6.0969,2.2596,3.0451,Alpha
3.2672,1.7998,2.265,Alpha
4.3425,4.6824,2.4546,Alpha
6.0113,2.3975,1.0871,Alpha
2.626,1.05,2.5315,Alpha
3.6006,3.9434,3.2146,Alpha
2.1855,1.911,2.3304,Alpha
4.3967,3.0368,1.0201,Alpha
5.3866,2.8936,3.9578,Alpha
4.175,3.5051,2.0934,Alpha
6.9996,1.6033,1.7319,Alpha
5.8186,4.4343,2.5243,Alpha
5.4479,4.5764,3.3149,Alpha
4.6095,4.893,3.4587,Alpha
5.2385,2.3139,3.1422,Alpha
3.69,0.9872,1.6118,Alpha
1.8142,3.0403,0.5315,Alpha
4.9923,3.4893,2.6904,Alpha
3.7281,4.7656,1.8056,Alpha
3.9777,1.6906,3.7327,Alpha
6.2105,2.0317,3.1851,Alpha
4.1982,2.8717,2.7832,Alpha
5.8472,3.9187,3.6709,Alpha
4.1026,2.0822,1.8178,Alpha
3.4054,1.2709,1.354,Alpha
6.7433,1.363,3.482,Alpha
5.0642,3.2913,4.63,Alpha
6.2508,3.0263,1.8401,Alpha
4.486,4.9761,2.6616,Alpha
4.1402,3.3865,4.9306,Alpha
5.8825,4.5482,3.2584,Alpha
4.926,3.5405,2.5469,Alpha
2.2105,4.1783,2.1505,Alpha
2.4859,3.5578,2.7293,Alpha
3.1273,2.0177,1.859,Alpha
5.4953,3.9833,4.165,Alpha
5.0169,2.9727,3.5697,Alpha
4.8706,3.6308,1.4813,Alpha
3.8291,3.1563,2.2191,Alpha
5.3062,2.5296,2.3632,Alpha
4.4496,1.1978,3.1365,Alpha
4.8055,3.6186,3.0676,Alpha
4.0436,4.7466,2.5774,Alpha
3.0552,2.1794,2.0765,Alpha
5.5639,2.2978,3.8608,Alpha
6.7579,1.1452,3.2303,Alpha
5.6088,4.0136,3.1704,Alpha
4.9013,2.9671,3.3406,Alpha
2.919,3.2285,2.2819,Alpha
3.9746,3.5427,2.7782,Alpha
6.1123,3.9089,4.4856,Alpha
4.3266,3.496,2.4678,Alpha
3.2851,2.6459,3.219,Alpha
3.2618,4.6095,2.7555,Alpha
2.5231,0.77,2.5537,Alpha
6.2764,4.8676,3.7303,Alpha
3.9194,3.0491,3.072,Alpha
2.7781,3.3877,3.3746,Alpha
4.081,3.6112,2.9799,Alpha
5.9857,5.0796,2.4131,Alpha
3.2515,3.3892,3.4748,Alpha
5.003,2.5432,2.6299,Alpha
3.5612,3.1916,2.1888,Alpha
2.6794,2.4272,2.7811,Alpha
4.2548,4.136,3.3125,Alpha
3.4179,2.2912,5.9576,Alpha
4.1382,3.3076,1.2108,Alpha
6.0026,5.7519,1.884,Alpha
2.8015,2.838,2.4539,Alpha
4.1302,3.3056,2.3075,Alpha
2.9918,2.0105,1.3274,Alpha
4.307,3.1113,-0.1682,Alpha
3.395,4.1547,3.1313,Alpha
3.6426,3.9935,3.2643,Alpha
4.9241,3.9392,2.7981,Alpha
3.6547,2.1752,5.0962,Alpha
5.806,3.6153,3.0178,Alpha
3.1726,3.6685,1.7372,Alpha
4.8732,4.9007,3.7161,Alpha
3.4245,3.0892,5.2669,Alpha
5.3966,2.5978,3.0664,Alpha
2.7361,2.6962,1.7568,Alpha
2.9438,1.9547,1.9542,Alpha
3.6944,4.2595,2.62,Alpha
4.0889,2.1936,1.7911,Alpha
3.2231,2.5861,3.6514,Alpha
2.4517,1.6135,4.8817,Alpha
6.546,4.1851,2.3152,Alpha
5.651,3.1342,4.0115,Alpha
3.0259,3.0346,4.0408,Alpha
3.6584,1.6307,3.4588,Alpha
4.4082,1.5161,3.0433,Alpha
3.4459,4.9201,3.2257,Alpha
2.6315,3.2798,2.1237,Alpha
1.5509,2.9739,2.3453,Alpha
4.8831,4.2546,1.5737,Alpha
3.0817,5.3181,3.0946,Alpha
4.7898,4.0319,2.4934,Alpha
4.8273,2.4853,1.697,Alpha
1.4786,2.562,0.7689,Alpha
3.9738,1.6045,3.6588,Alpha
4.0688,5.0975,3.7656,Alpha
4.517,4.0911,2.563,Alpha
6.451,2.9955,2.7891,Alpha
3.0501,3.1027,2.5236,Alpha
2.6906,1.4871,3.5013,Alpha
4.7233,3.1696,3.2201,Alpha
5.2695,1.8322,2.3988,Alpha
4.057,1.5018,4.8293,Alpha
4.4883,2.8806,4.4112,Alpha
4.3939,5.2398,4.7056,Alpha
4.4941,2.6547,4.2007,Alpha
6.1946,2.4567,5.5753,Alpha
3.9413,2.5491,2.4457,Alpha
3.3378,-0.8637,1.871,Alpha
1.6287,3.4683,2.6919,Alpha
4.4534,3.6382,3.4173,Alpha
4.6334,3.9659,2.6704,Alpha
2.86,4.246,3.8526,Alpha
4.82,3.2736,4.4298,Alpha
4.1364,2.8601,1.4479,Alpha
4.3567,3.7876,3.095,Alpha
4.2645,6.3707,4.7394,Alpha
2.4029,1.6708,2.5155,Alpha
2.3899,4.2334,5.5255,Alpha
2.9419,2.8043,4.0643,Alpha
4.7602,1.6088,2.5905,Alpha
4.9139,3.451,3.4532,Alpha
3.6478,3.2247,3.213,Alpha
4.1839,2.664,4.9125,Alpha
2.4573,2.699,2.6413,Alpha
4.0927,3.369,3.2069,Alpha
5.6187,3.9865,2.4036,Alpha
2.6149,1.5805,3.0497,Alpha
3.2358,4.2094,2.0722,Alpha
3.0715,4.5611,4.4358,Alpha
4.7883,1.6493,4.2917,Alpha
3.092,3.9444,3.009,Alpha
6.73,3.8633,2.4626,Alpha
2.0966,4.3942,2.8866,Alpha
2.8939,3.0368,2.8989,Alpha
5.5685,3.3247,3.2056,Alpha
4.1697,1.278,3.987,Alpha
5.4366,0.9866,3.8,Alpha
8.1449,2.4511,1.8473,Alpha
4.5318,4.8847,1.5452,Alpha
1.9826,3.7435,2.683,Alpha
5.305,2.5373,5.6454,Alpha
5.2189,6.2846,3.3064,Alpha
1.9756,1.9743,1.5737,Alpha
2.6958,5.9616,2.9108,Alpha
3.3935,3.01,1.8557,Alpha
3.8284,1.4125,2.5908,Alpha
2.8529,3.9276,2.6614,Alpha
2.9115,1.6715,3.357,Alpha
5.1686,2.9824,2.7219,Alpha
3.8479,1.2167,1.8426,Alpha
5.2074,1.6311,1.658,Alpha
5.2086,3.209,4.0127,Alpha
2.2246,3.973,4.0892,Alpha
2.2223,4.3985,2.967,Alpha
3.6355,1.105,2.0187,Alpha
7.0128,4.8545,3.8246,Alpha
3.3821,1.9157,4.1374,Alpha
3.072,2.9704,4.1631,Alpha
2.5822,4.7954,3.5505,Alpha
3.6474,2.6959,3.3694,Alpha
2.4866,3.3209,3.0559,Alpha
4.1068,3.8642,3.6395,Alpha
4.5092,2.9364,2.4344,Alpha
3.3482,2.4743,4.2807,Alpha
4.7517,3.4741,3.4979,Alpha
3.4512,-0.4349,1.4637,Alpha
4.222,1.9832,2.9293,Alpha
3.6738,3.0083,2.355,Alpha
4.8668,3.9687,3.2414,Alpha
3.3996,2.0293,2.3487,Alpha
2.8727,2.8074,3.6387,Alpha
3.327,2.7993,3.196,Alpha
6.4402,2.1721,1.9035,Alpha
3.6729,3.0121,4.9297,Alpha
3.2944,3.1312,3.9893,Alpha
5.3252,2.43,3.5394,Alpha
5.7636,3.2638,1.5034,Alpha
6.4198,1.4354,3.4104,Alpha
2.1269,2.6554,3.0015,Alpha
1.8632,4.7486,3.6643,Alpha
4.0809,4.0729,2.0866,Alpha
3.1642,3.1185,1.7862,Alpha
5.11,5.6436,2.8039,Alpha
5.1191,5.5847,4.3812,Alpha
5.2157,1.5502,4.4062,Alpha
2.7549,4.8561,3.8225,Alpha
3.388,1.7571,1.7605,Alpha
6.3259,0.4695,2.1013,Alpha
3.1839,2.1287,2.4364,Alpha
5.0931,2.0364,1.4023,Alpha
3.1347,0.5241,4.6433,Alpha
4.6281,3.2606,4.7042,Alpha
1.5903,1.8932,1.4183,Alpha
2.9408,3.0331,2.9288,Alpha
3.2967,1.5499,3.4878,Alpha
4.8905,1.0096,1.9101,Alpha
4.8941,1.9223,2.1027,Alpha
3.6122,3.0797,4.7159,Alpha
2.6129,-0.0348,4.6151,Alpha
6.4312,0.3171,3.1662,Alpha
5.1975,5.5627,2.4001,Alpha
4.3485,4.301,4.0726,Alpha
2.9273,2.4202,3.3282,Alpha
4.0283,2.9611,3.4411,Alpha
4.0272,3.1272,2.9086,Alpha
5.0703,3.9569,4.327,Alpha
4.2553,3.1953,2.2788,Alpha
3.6268,1.9417,5.9819,Alpha
5.6196,3.5643,3.4338,Alpha
